A,B,question,preferred
mountain/visually-different_semantically-neutral_compositionally-neutral.png,mountain/visually-neutral_semantically-similar_compositionally-different.png,Which drawing do you believe is more creative?,1
mountain/visually-different_semantically-neutral_compositionally-similar.png,mountain/visually-similar_semantically-different_compositionally-neutral.png,Which drawing do you believe is more creative?,0
mountain/visually-different_semantically-neutral_compositionally-similar.png,mountain/visually-neutral_semantically-neutral_compositionally-similar.png,Which drawing do you believe is more creative?,0
mountain/visually-different_semantically-neutral_compositionally-similar.png,mountain/visually-similar_semantically-neutral_compositionally-similar.png,Which drawing do you believe is more creative?,0
mountain/visually-different_semantically-neutral_compositionally-similar.png,mountain/visually-different_semantically-similar_compositionally-neutral.png,Which drawing do you believe is more creative?,0
mountain/visually-different_semantically-neutral_compositionally-similar.png,mountain/visually-similar_semantically-different_compositionally-different.png,Which drawing do you believe is more creative?,0
mountain/visually-different_semantically-neutral_compositionally-similar.png,mountain/visually-different_semantically-similar_compositionally-different.png,Which drawing do you believe is more creative?,0
mountain/visually-different_semantically-neutral_compositionally-similar.png,mountain/visually-neutral_semantically-similar_compositionally-similar.png,Which drawing do you believe is more creative?,0
mountain/visually-different_semantically-neutral_compositionally-similar.png,mountain/visually-similar_semantically-similar_compositionally-similar.png,Which drawing do you believe is more creative?,0
mountain/visually-different_semantically-similar_compositionally-different.png,mountain/visually-similar_semantically-different_compositionally-neutral.png,Which drawing do you believe is more creative?,0
mountain/visually-different_semantically-similar_compositionally-different.png,mountain/visually-neutral_semantically-different_compositionally-similar.png,Which drawing do you believe is more creative?,1
mountain/visually-different_semantically-similar_compositionally-different.png,mountain/visually-similar_semantically-neutral_compositionally-neutral.png,Which drawing do you believe is more creative?,1
mountain/visually-different_semantically-similar_compositionally-different.png,mountain/visually-neutral_semantically-neutral_compositionally-different.png,Which drawing do you believe is more creative?,1
mountain/visually-different_semantically-similar_compositionally-different.png,mountain/visually-neutral_semantically-similar_compositionally-neutral.png,Which drawing do you believe is more creative?,1
mountain/visually-different_semantically-similar_compositionally-different.png,mountain/visually-neutral_semantically-different_compositionally-different.png,Which drawing do you believe is more creative?,1
mountain/visually-different_semantically-similar_compositionally-neutral.png,mountain/visually-similar_semantically-similar_compositionally-neutral.png,Which drawing do you believe is more creative?,0
mountain/visually-different_semantically-similar_compositionally-neutral.png,mountain/visually-similar_semantically-different_compositionally-different.png,Which drawing do you believe is more creative?,0
mountain/visually-different_semantically-similar_compositionally-neutral.png,mountain/visually-different_semantically-similar_compositionally-similar.png,Which drawing do you believe is more creative?,0
mountain/visually-different_semantically-similar_compositionally-neutral.png,mountain/visually-neutral_semantically-neutral_compositionally-different.png,Which drawing do you believe is more creative?,1
mountain/visually-different_semantically-similar_compositionally-neutral.png,mountain/visually-similar_semantically-neutral_compositionally-different.png,Which drawing do you believe is more creative?,1
mountain/visually-different_semantically-similar_compositionally-neutral.png,mountain/visually-neutral_semantically-neutral_compositionally-neutral.png,Which drawing do you believe is more creative?,1
mountain/visually-different_semantically-similar_compositionally-similar.png,mountain/visually-similar_semantically-neutral_compositionally-similar.png,Which drawing do you believe is more creative?,0
mountain/visually-different_semantically-similar_compositionally-similar.png,mountain/visually-neutral_semantically-different_compositionally-different.png,Which drawing do you believe is more creative?,1
mountain/visually-different_semantically-similar_compositionally-similar.png,mountain/visually-similar_semantically-different_compositionally-different.png,Which drawing do you believe is more creative?,1
mountain/visually-different_semantically-similar_compositionally-similar.png,mountain/visually-neutral_semantically-neutral_compositionally-neutral.png,Which drawing do you believe is more creative?,1
mountain/visually-different_semantically-similar_compositionally-similar.png,mountain/visually-similar_semantically-neutral_compositionally-neutral.png,Which drawing do you believe is more creative?,1
mountain/visually-different_semantically-similar_compositionally-similar.png,mountain/visually-similar_semantically-similar_compositionally-similar.png,Which drawing do you believe is more creative?,1
mountain/visually-different_semantically-similar_compositionally-similar.png,mountain/visually-neutral_semantically-different_compositionally-neutral.png,Which drawing do you believe is more creative?,1
mountain/visually-different_semantically-similar_compositionally-similar.png,mountain/visually-neutral_semantically-neutral_compositionally-different.png,Which drawing do you believe is more creative?,1
mountain/visually-different_semantically-similar_compositionally-similar.png,mountain/visually-neutral_semantically-similar_compositionally-neutral.png,Which drawing do you believe is more creative?,1
mountain/visually-neutral_semantically-different_compositionally-different.png,mountain/visually-neutral_semantically-similar_compositionally-neutral.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-different_compositionally-different.png,mountain/visually-similar_semantically-different_compositionally-different.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-different_compositionally-different.png,mountain/visually-neutral_semantically-different_compositionally-similar.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-different_compositionally-different.png,mountain/visually-similar_semantically-different_compositionally-similar.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-different_compositionally-neutral.png,mountain/visually-similar_semantically-similar_compositionally-different.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-different_compositionally-neutral.png,mountain/visually-neutral_semantically-neutral_compositionally-different.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-different_compositionally-neutral.png,mountain/visually-neutral_semantically-similar_compositionally-neutral.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-different_compositionally-neutral.png,mountain/visually-similar_semantically-similar_compositionally-neutral.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-different_compositionally-neutral.png,mountain/visually-neutral_semantically-neutral_compositionally-neutral.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-different_compositionally-similar.png,mountain/visually-similar_semantically-neutral_compositionally-similar.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-different_compositionally-similar.png,mountain/visually-neutral_semantically-similar_compositionally-neutral.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-different_compositionally-similar.png,mountain/visually-neutral_semantically-neutral_compositionally-neutral.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-different_compositionally-similar.png,mountain/visually-similar_semantically-neutral_compositionally-neutral.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-different_compositionally-similar.png,mountain/visually-neutral_semantically-similar_compositionally-similar.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-neutral_compositionally-different.png,mountain/visually-similar_semantically-similar_compositionally-neutral.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-neutral_compositionally-different.png,mountain/visually-similar_semantically-similar_compositionally-different.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-neutral_compositionally-different.png,mountain/visually-similar_semantically-different_compositionally-neutral.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-neutral_compositionally-different.png,mountain/visually-similar_semantically-neutral_compositionally-different.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-neutral_compositionally-different.png,mountain/visually-neutral_semantically-similar_compositionally-neutral.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-neutral_compositionally-neutral.png,mountain/visually-similar_semantically-neutral_compositionally-different.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-neutral_compositionally-neutral.png,mountain/visually-neutral_semantically-neutral_compositionally-similar.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-neutral_compositionally-neutral.png,mountain/visually-similar_semantically-similar_compositionally-different.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-neutral_compositionally-similar.png,mountain/visually-similar_semantically-different_compositionally-similar.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-neutral_compositionally-similar.png,mountain/visually-neutral_semantically-similar_compositionally-neutral.png,Which drawing do you believe is more creative?,1
mountain/visually-neutral_semantically-neutral_compositionally-similar.png,mountain/visually-similar_semantically-different_compositionally-different.png,Which drawing do you believe is more creative?,1
mountain/visually-neutral_semantically-similar_compositionally-different.png,mountain/visually-similar_semantically-neutral_compositionally-different.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-similar_compositionally-different.png,mountain/visually-similar_semantically-neutral_compositionally-similar.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-similar_compositionally-different.png,mountain/visually-neutral_semantically-similar_compositionally-neutral.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-similar_compositionally-different.png,mountain/visually-similar_semantically-neutral_compositionally-neutral.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-similar_compositionally-different.png,mountain/visually-neutral_semantically-similar_compositionally-similar.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-similar_compositionally-different.png,mountain/visually-similar_semantically-different_compositionally-neutral.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-similar_compositionally-neutral.png,mountain/visually-neutral_semantically-similar_compositionally-similar.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-similar_compositionally-neutral.png,mountain/visually-similar_semantically-different_compositionally-neutral.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-similar_compositionally-similar.png,mountain/visually-similar_semantically-neutral_compositionally-similar.png,Which drawing do you believe is more creative?,0
mountain/visually-neutral_semantically-similar_compositionally-similar.png,mountain/visually-similar_semantically-neutral_compositionally-different.png,Which drawing do you believe is more creative?,1
mountain/visually-neutral_semantically-similar_compositionally-similar.png,mountain/visually-similar_semantically-different_compositionally-similar.png,Which drawing do you believe is more creative?,1
mountain/visually-similar_semantically-different_compositionally-different.png,mountain/visually-similar_semantically-different_compositionally-similar.png,Which drawing do you believe is more creative?,0
mountain/visually-similar_semantically-different_compositionally-different.png,mountain/visually-similar_semantically-similar_compositionally-similar.png,Which drawing do you believe is more creative?,1
mountain/visually-similar_semantically-different_compositionally-neutral.png,mountain/visually-similar_semantically-different_compositionally-similar.png,Which drawing do you believe is more creative?,1
mountain/visually-similar_semantically-different_compositionally-neutral.png,mountain/visually-similar_semantically-similar_compositionally-different.png,Which drawing do you believe is more creative?,1
mountain/visually-similar_semantically-different_compositionally-similar.png,mountain/visually-similar_semantically-similar_compositionally-neutral.png,Which drawing do you believe is more creative?,0
mountain/visually-similar_semantically-different_compositionally-similar.png,mountain/visually-similar_semantically-neutral_compositionally-different.png,Which drawing do you believe is more creative?,1
mountain/visually-similar_semantically-neutral_compositionally-different.png,mountain/visually-similar_semantically-similar_compositionally-neutral.png,Which drawing do you believe is more creative?,0
mountain/visually-similar_semantically-neutral_compositionally-different.png,mountain/visually-similar_semantically-similar_compositionally-similar.png,Which drawing do you believe is more creative?,0
mountain/visually-similar_semantically-neutral_compositionally-different.png,mountain/visually-similar_semantically-neutral_compositionally-similar.png,Which drawing do you believe is more creative?,0
mountain/visually-similar_semantically-neutral_compositionally-different.png,mountain/visually-similar_semantically-neutral_compositionally-neutral.png,Which drawing do you believe is more creative?,1
mountain/visually-similar_semantically-neutral_compositionally-neutral.png,mountain/visually-similar_semantically-similar_compositionally-similar.png,Which drawing do you believe is more creative?,0
mountain/visually-similar_semantically-neutral_compositionally-neutral.png,mountain/visually-similar_semantically-similar_compositionally-different.png,Which drawing do you believe is more creative?,1
mountain/visually-similar_semantically-neutral_compositionally-similar.png,mountain/visually-similar_semantically-similar_compositionally-similar.png,Which drawing do you believe is more creative?,1
mountain/visually-similar_semantically-similar_compositionally-different.png,mountain/visually-similar_semantically-similar_compositionally-neutral.png,Which drawing do you believe is more creative?,0
mountain/visually-similar_semantically-similar_compositionally-neutral.png,mountain/visually-similar_semantically-similar_compositionally-similar.png,Which drawing do you believe is more creative?,1
